,Name,NAIF ID Number,Classification,Records,Link,Distance
Inner Solar System Asteroids,152941 (2000 FM10),2152941,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2152941.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,152952 (2000 GC2),2152952,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2152952.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,153219 (2000 YM29),2153219,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2153219.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,153249 (2001 BW15),2153249,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2153249.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,153315 (2001 NH6),2153315,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2153315.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,153957 (2002 AB29),2153957,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2153957.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,154019 (2002 CZ9),2154019,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2154019.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,154029 (2002 CY46),2154029,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2154029.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,154035 (2002 CV59),2154035,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2154035.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,154244 (2002 KL6),2154244,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2154244.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,154300 (2002 UO),2154300,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2154300.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,154589 (2003 MX2),2154589,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2154589.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,154656 (2004 FE3),2154656,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2154656.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,155140 (2005 UD),2155140,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2155140.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,155334 (2006 DZ169),2155334,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2155334.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,159399 (1998 UL1),2159399,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2159399.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,159402 (1999 AP10),2159402,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2159402.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,159454 (2000 DJ8),2159454,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2159454.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,159518 (2001 FF7),2159518,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2159518.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,159608 (2002 AC2),2159608,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2159608.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,159609 (2002 AQ3),2159609,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2159609.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,159686 (2002 LB6),2159686,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2159686.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,161989 Cacus (1978 CA),2161989,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2161989.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,161998 (1988 PA),2161998,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2161998.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,162004 (1991 VE),2162004,ATE,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2162004.shtml#top,a < 1.0 AU; Q > 0.983 AU
Inner Solar System Asteroids,162038 (1996 DH),2162038,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2162038.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,162063 (1997 EH29),2162063,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2162063.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,162120 (1998 SH36),2162120,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2162120.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,162173 (1999 JU3),2162173,APO,17,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2162173.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,162181 (1999 LF6),2162181,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2162181.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,162195 (1999 RK45),2162195,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2162195.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,162215 (1999 TL12),2162215,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2162215.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,162416 (2000 EH26),2162416,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2162416.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,162421 (2000 ET70),2162421,ATE,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2162421.shtml#top,a < 1.0 AU; Q > 0.983 AU
Inner Solar System Asteroids,162433 (2000 FK10),2162433,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2162433.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,162463 (2000 JH5),2162463,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2162463.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,162483 (2000 PJ5),2162483,ATE,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2162483.shtml#top,a < 1.0 AU; Q > 0.983 AU
Inner Solar System Asteroids,162510 (2000 QW69),2162510,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2162510.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,162566 (2000 RJ34),2162566,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2162566.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,162679 (2000 TK1),2162679,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2162679.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,162687 (2000 UH1),2162687,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2162687.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,162695 (2000 UL11),2162695,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2162695.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,162698 (2000 UN30),2162698,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2162698.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,162825 (2001 BO61),2162825,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2162825.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,162854 (2001 DE47),2162854,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2162854.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,162882 (2001 FD58),2162882,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2162882.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,162913 (2001 MT18),2162913,APO,5,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2162913.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,162980 (2001 RR17),2162980,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2162980.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,162998 (2001 SK162),2162998,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2162998.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,163000 (2001 SW169),2163000,AMO,5,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2163000.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,163001 (2001 SE170),2163001,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2163001.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,163132 (2002 CU11),2163132,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2163132.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,163243 (2002 FB3),2163243,ATE,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2163243.shtml#top,a < 1.0 AU; Q > 0.983 AU
Inner Solar System Asteroids,163250 (2002 GH1),2163250,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2163250.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,163348 (2002 NN4),2163348,ATE,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2163348.shtml#top,a < 1.0 AU; Q > 0.983 AU
Inner Solar System Asteroids,163696 (2003 EB50),2163696,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2163696.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,163697 (2003 EF54),2163697,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2163697.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,163758 (2003 OS13),2163758,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2163758.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,163902 (2003 SW222),2163902,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2163902.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,164121 (2003 YT1),2164121,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2164121.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,164184 (2004 BF68),2164184,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2164184.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,164201 (2004 EC),2164201,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2164201.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,164202 (2004 EW),2164202,ATE,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2164202.shtml#top,a < 1.0 AU; Q > 0.983 AU
Inner Solar System Asteroids,164214 (2004 LZ11),2164214,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2164214.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,164216 (2004 OT11),2164216,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2164216.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,164400 (2005 GN59),2164400,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2164400.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,170903 (2004 WS2),2170903,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2170903.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,171486 (1996 MO),2171486,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2171486.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,171576 (1999 VP11),2171576,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2171576.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,172718 (2004 BD85),2172718,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2172718.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,172722 (2004 BV102),2172722,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2172722.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,172974 (2005 YW55),2172974,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2172974.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,175706 (1996 FG3),2175706,APO,7,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2175706.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,175921 (2000 DM1),2175921,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2175921.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,177614 (2004 HK33),2177614,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2177614.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,177651 (2004 XM14),2177651,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2177651.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,184266 (2004 VW14),2184266,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2184266.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,184990 (2006 KE89),"2184990,3334819",APO,4,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2184990.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,185716 (1998 SF35),2185716,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2185716.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,185851 (2000 DP107),"2185851,3031174",APO,6,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2185851.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,185853 (2000 ER70),2185853,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2185853.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,186822 (2004 FE31),2186822,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2186822.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,189630 (2001 LE6),2189630,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2189630.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,189865 (2003 NC),2189865,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2189865.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,190758 (2001 QH96),2190758,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2190758.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,192559 (1998 VO),2192559,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2192559.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,192563 (1998 WZ6),2192563,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2192563.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,194126 (2001 SG276),2194126,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2194126.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,194268 (2001 UY4),2194268,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2194268.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,198856 (2005 LR3),2198856,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2198856.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,199801 (2007 AE12),2199801,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2199801.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,202435 (2005 XH8),2202435,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2202435.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,204131 (2003 YL),"2204131,3170222",APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2204131.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,206378 (2003 RB),"2206378,3159883",APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2206378.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,206910 (2004 NL8),"2206910,3248671",APO,3,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2206910.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,208023 (1999 AQ10),"2208023,3017060",ATE,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2208023.shtml#top,a < 1.0 AU; Q > 0.983 AU
Inner Solar System Asteroids,212359 (2006 EV52),2212359,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2212359.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,212546 (2006 SV19),2212546,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2212546.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,214088 (2004 JN13),"2214088,3182182",APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2214088.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,215167 (2000 EL26),"2215167,3067517",AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2215167.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,215442 (2002 MQ3),2215442,ATE,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2215442.shtml#top,a < 1.0 AU; Q > 0.983 AU
Inner Solar System Asteroids,215588 (2003 HF2),"2215588,3153511",APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2215588.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,215757 (2004 FU64),2215757,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2215757.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,216707 (2004 XP164),"2216707,3265471",AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2216707.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,217013 (2001 AA50),"2217013,3076570",AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2217013.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,217390 (2005 CW25),"2217390,3267311",APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2217390.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,217796 (2000 TO64),2217796,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2217796.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,217807 (2000 XK44),2217807,AMO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2217807.shtml#top,a > 1.0 AU; 1.017 AU < q < 1.3 AU
Inner Solar System Asteroids,217837 (2001 LC),2217837,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2217837.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,218863 (2006 WO127),2218863,APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2218863.shtml#top,a > 1.0 AU; q < 1.017 AU
Inner Solar System Asteroids,219071 (1997 US9),"2219071,3007563",APO,2,https://pdssbn.astro.umd.edu/data_other/sptz_02_INNER/2219071.shtml#top,a > 1.0 AU; q < 1.017 AU
